Setpoint,Tr,Tj,Action
50.46693782,55.5701,40.2079,0.746005621707237
50.48327848,55.6003,41.261,0.3029530774411161
50.49959746,55.6338,41.4754,0.4320542812347412
50.51589484,55.6661,40.924,0.5948841325388752
50.53217069,55.6954,40.4703,0.615354549563738
50.54842508,55.7248,40.9765,0.4187018871307373
50.5646581,55.7562,41.2562,0.43952844803871427
50.5808698,55.7892,41.5819,0.4124763682484627
50.59706026,55.8236,41.8387,0.4090224727988243
50.61322957,55.8601,42.3724,0.3359265495238215
50.62937778,55.8981,42.4574,0.4018384516239166
50.64550497,55.9326,41.2971,0.6695945611293261
50.66161121,55.9637,41.2462,0.5011947287446308
50.67769657,55.9959,41.7118,0.38870730996131897
50.69376113,56.0302,42.0714,0.38561465591192245
50.70980495,56.0661,42.3541,0.38259977102279663
50.72582811,56.1033,42.5829,0.3792363628745079
50.74183067,56.1414,42.7692,0.3765977472066879
50.75781271,56.1803,42.9399,0.37087489664554596
50.7737743,56.22,43.1005,0.36504191160202026
50.7897155,56.2603,43.2423,0.36158715188503265
50.80563638,56.3012,43.3826,0.3557836562395096
50.82153702,56.3419,43.2855,0.3963970157202594
50.83741748,56.381,42.91,0.4587431873980059
50.85327784,56.4168,42.2038,0.5520589020104409
50.86911815,56.4521,42.7143,0.33979594707489014
50.88493849,56.4897,43.1248,0.3347606658935547
50.90073893,56.5292,43.4568,0.33082379400730133
50.91651953,56.5702,43.7358,0.32600148022174835
50.93228036,56.609,42.8296,0.5461152093809184
50.94802148,56.6467,43.3158,0.3185812383890152
50.96374298,56.6866,43.7047,0.31503237783908844
50.9794449,56.7283,44.0392,0.308177649974823
50.99512732,56.7688,43.4068,0.4777220747250135
51.01079031,56.8089,43.902,0.2939283698797226
51.02643392,56.848,43.1942,0.5029331919126542
51.04205824,56.8845,43.0285,0.43651743194037373
51.05766331,56.9223,43.7027,0.2804534137248993
51.07324921,56.9633,44.2452,0.276004433631897
51.088816,57.0069,44.6905,0.271333783864975
51.10436374,57.0525,45.067,0.2660406678915024
51.11989251,57.0999,45.3908,0.2610137015581131
51.13540236,57.1467,44.9786,0.3768212621284114
51.15089336,57.1933,45.401,0.25
51.16636557,57.2388,44.734,0.42423799451674854
51.18181906,57.2838,45.2268,0.25
51.19725389,57.331,45.6126,0.25
51.21267012,57.3799,45.9165,0.25
51.22806782,57.43,46.1577,0.25
51.24344704,57.4781,45.3348,0.42084905743236606
51.25880786,57.5249,45.7251,0.25
51.27415032,57.5734,46.0324,0.25
51.2894745,57.6231,46.2761,0.25
51.30478046,57.6735,46.3782,0.2651176290029913
51.32006826,57.7245,46.5572,0.25
51.33533795,57.7727,45.5761,0.43633953491049776
51.3505896,57.8192,45.9553,0.25
51.36582328,57.8673,46.254,0.25
51.38103903,57.9131,45.2832,0.45297116098414186
51.39623693,57.9545,44.771,0.42130549217079516
51.41141703,57.9961,45.3636,0.25
51.42657939,58.0386,45.2162,0.35487497482781755
51.44172407,58.0772,44.1041,0.5385701220101708
51.45685113,58.1149,44.8693,0.25
51.47196063,58.1562,45.4635,0.25
51.48705263,58.2002,45.9268,0.25
51.50212718,58.2407,44.4281,0.573598326947018
51.51718436,58.2792,45.1432,0.25
51.5322242,58.321,45.6991,0.25
51.54724678,58.3654,46.133,0.25
51.56225215,58.4057,44.4581,0.598241215350725
51.57724037,58.4435,45.1913,0.25
51.59221149,58.4847,45.7609,0.25
51.60716557,58.5286,46.2053,0.25
51.62210267,58.5744,46.5537,0.25
51.63702285,58.6178,45.4957,0.47101781886496263
51.65192616,58.6597,46.0215,0.25
51.66681267,58.704,46.4322,0.25
51.68168241,58.748,46.0587,0.3638797507689305
51.69653546,58.792,46.4742,0.25
51.71137186,58.8379,46.8004,0.25
51.72619168,58.8851,47.0583,0.25
51.74099496,58.9334,47.2638,0.25
51.75578176,58.9736,44.5104,0.7402900663936411
51.77055214,59.0088,45.3175,0.25
51.78530616,59.0478,45.9436,0.25
51.80004386,59.0897,46.4311,0.25
51.8147653,59.1339,46.8123,0.25
51.82947053,59.1797,47.1122,0.25
51.84415961,59.2268,47.3498,0.25
51.8588326,59.2748,47.5397,0.25
51.87348954,59.3235,47.693,0.25
51.88813048,59.3711,47.2502,0.33738600208047
51.90275549,59.4179,47.4849,0.25
51.91736461,59.4656,47.6725,0.25
51.9319579,59.514,47.8241,0.25
51.9465354,59.5547,45.2188,0.69315233304328
51.96109718,59.5905,45.9503,0.25
51.97564328,59.6298,46.5184,0.25
51.99017375,59.6658,44.9986,0.5805587557540497
52.00468865,59.7,45.7978,0.25
52.01918803,59.732,44.4212,0.5982315723262503
52.03367193,59.763,45.3637,0.25
52.04814041,59.798,45.9155,0.27997214912478663
52.06259352,59.8283,43.9517,0.7038664787425197
52.07703131,59.8565,45.0172,0.25
52.09145383,59.8898,45.841,0.25
52.10586113,59.927,46.4796,0.25
52.12025327,59.9672,46.9764,0.25
52.13463028,60.0096,47.3646,0.25
52.14899222,60.0538,47.6696,0.25
52.16333913,60.0992,47.9109,0.25
52.17767108,60.1456,48.1033,0.25
52.1919881,60.1927,48.2584,0.25
52.20629025,60.2404,48.3848,0.25
52.22057757,60.2852,47.4025,0.41399400045403983
52.23485011,60.3282,47.7405,0.25
52.24910792,60.3669,46.093,0.5536246870057705
52.26335105,60.403,46.7457,0.25
52.27757955,60.4421,47.2532,0.25
52.29179346,60.4835,47.6494,0.25
52.30599282,60.5267,47.9604,0.25
52.3201777,60.5712,48.2061,0.25
52.33434813,60.6167,48.4019,0.25
52.34850416,60.663,48.5593,0.25
52.36264583,60.7098,48.6874,0.25
52.3767732,60.756,48.4612,0.2984019765891871
52.39088631,60.8019,48.626,0.25
52.40498521,60.8483,48.7597,0.25
52.41906994,60.8952,48.8696,0.25
52.43314054,60.9424,48.9612,0.25
52.44719707,60.9898,49.0388,0.25
52.46123956,61.0373,49.1057,0.25
52.47526807,61.0849,49.1643,0.25
52.48928263,61.1326,49.2166,0.25
52.5032833,61.1803,49.2641,0.25
52.51727011,61.228,49.3078,0.25
52.53124312,61.2757,49.3487,0.25
52.54520235,61.3234,49.3873,0.25
52.55914787,61.371,49.4242,0.25
52.57307971,61.4186,49.4598,0.25
52.58699792,61.4654,49.2718,0.2813180015299049
52.60090253,61.5117,49.3569,0.25
52.6147936,61.5582,49.4294,0.25
52.62867116,61.6048,49.4922,0.25
52.64253526,61.6515,49.5475,0.25
52.65638594,61.6983,49.5971,0.25
52.67022324,61.744,49.2612,0.3035020700968958
52.68404721,61.7889,49.3909,0.25
52.69785789,61.8342,49.4975,0.25
52.71165532,61.8798,49.5863,0.25
52.72543953,61.9256,49.6615,0.25
52.73921058,61.9716,49.7263,0.25
52.75296851,62.0176,49.7831,0.25
52.76671334,62.0637,49.8338,0.25
52.78044514,62.1028,47.5326,0.5924672193417797
52.79416393,62.1373,48.1158,0.25
52.80786976,62.1745,48.5695,0.25
52.82156267,62.2089,47.274,0.4988884539126709
52.83524269,62.2416,47.9329,0.25
52.84890987,62.2774,48.4447,0.25
52.86256426,62.3073,46.0926,0.6797904182098107
52.87620588,62.3295,45.63,0.48531045195903644
52.88983477,62.3495,45.3447,0.4785293806656837
52.90345099,62.3719,46.4703,0.25
52.91705456,62.3998,47.3395,0.25
52.93064552,62.4319,48.0122,0.25
52.94422392,62.4645,47.6374,0.38562603838093207
52.9577898,62.4977,48.2511,0.25
52.97134318,62.5338,48.7282,0.25
52.98488412,62.5721,49.1006,0.25
52.99841264,62.612,49.3928,0.25
53.01192879,62.6531,49.6236,0.25
53.0254326,62.6952,49.8073,0.25
53.03892412,62.738,49.955,0.25
53.05240337,62.7813,50.0751,0.25
53.0658704,62.825,50.174,0.25
53.07932525,62.8604,47.427,0.6612033691778452
53.09276795,62.8906,48.1492,0.25
53.10619853,62.9242,48.7093,0.25
53.11961704,62.9604,49.1452,0.25
53.13302351,62.9944,48.0973,0.45251780664847496
53.14641797,63.0272,48.6851,0.25
53.15980048,63.0627,49.1421,0.25
53.17317105,63.093,47.0409,0.6186271212982386
53.18652972,63.1145,46.011,0.5531540665225425
53.19987654,63.1363,47.0986,0.25
53.21321154,63.1634,47.9384,0.25
53.22653474,63.1945,48.5884,0.25
53.2398462,63.2203,46.2935,0.6835835795525995
53.25314594,63.2382,45.7185,0.517458427463542
53.26643399,63.2579,46.8924,0.25
53.2797104,63.2833,47.7982,0.25
53.29297519,63.3131,48.4988,0.25
53.30622841,63.3462,49.0421,0.25
53.31947008,63.3766,47.7101,0.5090749068955871
53.33270025,63.4055,48.4451,0.25
53.34591893,63.4379,49.0148,0.25
53.35912617,63.4729,49.4579,0.25
53.37232201,63.509,49.4992,0.2926554615593517
53.38550647,63.5461,49.8412,0.25
53.39867959,63.5819,49.1633,0.382519849182241
53.4118414,63.6162,49.3617,0.2828024336049628
53.42499193,63.652,49.7517,0.25
53.43813122,63.6896,50.0571,0.25
53.4512593,63.7285,50.2977,0.25
53.46437621,63.7684,50.4886,0.25
53.47748197,63.809,50.6415,0.25
53.49057661,63.8502,50.7652,0.25
53.50366018,63.8918,50.8666,0.25
53.51673269,63.9337,50.9509,0.25
53.52979419,63.9758,51.0221,0.25
53.54284471,64.018,51.0832,0.25
53.55588427,64.0603,51.1366,0.25
53.56891291,64.1027,51.1841,0.25
